号码ID	号码	状态码	呼叫结果	是否可拨	呼叫人	标题	名字	中间名	姓氏	地址1	地址2	地址3	城市	区号	地区	邮编	省份	性别	备用电话	邮箱	描述	生日	呼叫次数	呼叫时间	导入时间	
109802	13177771777	NEW		是	22222				李小姐									U					0			
109808	13573173527	NEW		是	22222				照 王									U					0			
109814	123122000000	NEW		是					123									U					0			
109815	1222222222	NEW		是					2333									U					0			
109816	122221111	NEW		是	1000				3333									U					0			
109818	33333333333	NEW		是	1000				1233									U					0			
109838	15865252634	NEW		是														U					0			
109840	15865252600	NEW		是														U					0			
109842	15865252600	NEW		是														U					0			
109844	15865252611	NEW		是														U					0			
110591	15865252604	NEW		是					忘记									U					0			
110597	13176661665	NEW		是	1000				123									U					0			
110605	1550452214	NEW		是	1002				张明									U					0			
110608	15550452217	NEW		是	1000				112									U					0			
109819	15865252645	NEW	其他	是					12322									U				0000-00-00	93	42139.040972222		
109820	13176661665	NEW		是	1000													U				0000-00-00	66	42184.288888889		
109832	1234567789	NEW		否	1000				天剑									U				0000-00-00	2	42184.302083333		
109841	11111	NEW		是	1000													U				0000-00-00	12	42149.102083333		
109831	1234567890	NEW		是	1000				正往									U				0000-00-00	1	42086.072916667		
 																										
